codpanelista2,wave,sex,age,education,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,immigeco,immicult,polintr,constpref,populisma,populismd,populismf,populismi,populismj,populismn,lrself,femstrike,femdemonstrate,feminfo,femtalk,vote2016,voteintentionspain,hhincome,livingpartner,indeprespect,curiosmanners,selfconfobed,empathybehave
3886,10,2,40,3,3,5,4,1,3,5,5,3,3,2,5,3,4,3,5,4,4,6,5,3,2,2,1,1,51,51,2,0,2,2,2,1
3887,10,2,50,3,3,4,3,4,5,4,4,5,3,2,5,3,4,7,7,7,7,7,7,5,2,2,2,2,,5,7,1,2,2,2,1
3887,11,2,51,3,5,4,3,3,4,3,4,5,2,8,5,3,3,5,3,3,3,4,4,5,2,2,2,2,,5,7,0,2,2,2,1
3887,12,2,52,3,3,3,3,3,3,3,2,3,4,4,3,3,3,6,3,3,5,6,3,5,2,2,2,2,,53,7,1,1,1,2,1
3888,10,1,45,3,1,1,4,1,3,7,6,5,6,4,4,3,1,6,4,5,4,4,4,5,2,2,2,1,1,1,10,1,2,2,2,1
3889,10,1,20,6,1,6,1,1,3,7,7,1,1,6,0,3,3,7,3,5,3,5,6,4,2,1,1,1,56,54,99,0,2,1,2,1
3890,10,1,23,8,2,7,1,1,3,4,7,5,1,7,3,3,2,6,4,6,4,6,7,5,2,2,2,1,51,51,3,0,2,2,2,1
3890,11,1,24,8,4,5,3,4,3,5,5,4,4,5,5,2,2,5,4,4,4,6,5,5,2,2,2,1,,50,99,1,1,2,2,1
3891,10,1,36,3,2,2,2,3,2,2,5,1,1,10,10,4,2,5,4,5,1,1,1,3,2,2,2,2,1,1,7,1,2,2,2,1
3891,11,1,37,3,4,3,4,1,3,1,1,1,1,1,0,4,4,1,3,5,4,3,1,2,2,2,2,2,,1,99,1,2,2,2,1
3892,10,1,23,10,4,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,8,2,2,2,2,2,2,99,0,2,2,1,2
3892,11,1,24,10,7,1,7,7,7,1,1,4,7,5,7,2,2,3,4,5,6,3,7,9,2,2,2,2,,2,99,0,2,2,1,2
3892,12,1,25,10,7,1,6,6,7,1,1,7,7,3,3,3,2,4,4,4,7,4,7,8,2,2,2,2,,2,7,0,2,2,1,2
3893,10,1,37,4,3,4,1,1,2,7,7,1,3,10,2,4,5,7,3,7,7,7,7,0,1,2,1,1,,50,2,1,1,1,2,1
3893,11,1,39,7,3,4,7,1,3,7,7,4,4,10,0,2,5,7,3,4,7,7,7,0,1,2,1,1,,50,4,1,1,1,2,1
